site_no;site_id;area;build_up_pair;site_name;transect;dms_n_lat;dms_e_lon;dec_lat;dec_lon
01;N_U01a;urban;high;Sahakarnagar;N;13   ?4  ? 3  ?;77  ?35  ?18  ?;780641.2691;1446011.629
02;N_U01b;urban;low;Jakkur-Lake;N;13  ?6  ?41  ?;77  ?36  ?5  ?;782901.0903;1447694.409
03;N_U02a;urban;high;Gooseberry;N;13  ?6  ?41  ?;77  ?36  ?5  ?;782104.2454;1450934.527
04;N_U02b;urban;low;Avenue;N;13  ?6  ?20  ?;77  ?36  ?55  ?;783545.5584;1450250.731
05;N_U03a;urban;high;Anantapura;N;13  ?7  ?0  ?;77  ?33  ?59  ?;778266.0052;1451463.746
06;N_U03b;urban;low;Beerbottle;N;13  ?7  ?31  ?;77  ?33  ?29  ?;777368.3713;1452394.99
07;S_U01a;urban;high;Diverse;S;12  ?53  ?2  ?;77  ?34  ?26  ?;779322.4495;1425703.381
08;S_U01b;urban;low;Pool;S;12  ?52  ?45  ?;77  ?34  ?45  ?;779902.7139;1425208.76
09;S_U02a;urban;high;Chow-Chow;S;12  ?51  21  ?;77  ?35  ?54  ?;782041.0197;1422600.542
10;S_U02b;urban;low;Factory;S;12  ?50  ?5  ?;77  ?35  ?50  ?;781937.6293;1421672.578
11;S_U03a;urban;high;Tomato-Niceroad;S;12  ?51  ?43  ?;77  ?31  ?17  ?;773645.8621;1423239.212
12;S_U03b;urban;low;Chilly-Eggplant;S;12  ?51  ?7  ?;77  ?31  ?2  ?;773214.7561;1422104.952
13;N_P01a;peri;high;Harohalli;N;13  ?7  ?58  ?;77  ?34  ?41  ?;779534.5682;1453313.448
14;N_P01b;peri;low;Airport;N;13  ?8  ?25  ?;77  ?35  ?31  ?;781021.3656;1454072.404
15;N_P02a;peri;high;Villa;N;13  ?9  ?37  ?;77  ?36  ?31  ?;782791.2139;1456347.135
16;N_P02b;peri;low;Villa-Quarry;N;13  ?9  ?55  ?;77  ?36  ?53  ?;783551.0967;1456893.391
17;N_P03a;peri;high;Aromatic;N;13  ?12  ?44  ?;77  ?35  ?15  ?;780759.0245;1461227.83
18;N_P03b;peri;low;Aromatic-Silver;N;13  ?12  ?16  ?;77  ?35  ?25  ?;780421.7141;1462029.401
19;S_P01a;peri;high;Banana;S;12  ?48  30  ?;77  ?32  ?33  ?;776982.9367;1418048.367
20;S_P01b;peri;low;Valley;S;12  ?48  51  ?;77  ?33  ?7  ?;772714.8554;1417141.749
21;S_P02a;peri;high;Nursery;S;12  ?46  ?6  ?;77  ?30  ?44  ?;774028.9602;1417734.446
22;S_P02b;peri;low;Green-Beetle;S;12  ?51  ?14  ?;77  ?32  ?33  ?;774231.5606;1412979.686
23;S_P03a;peri;high;Sticks;S;12  ?46  ?9  ?;77  ?31  ?32  ?;775304.2957;1413154.346
24;S_P03b;peri;low;Lake;S;12  ?46  ?15  ?;77  ?32  ?8  ?;781584.1729;1466596.771
25;N_R01a;rural;high;Water;N;13  ?15  ?10  ?;77  ?35  ?54  ?;783632.8939;1467665.564
26;N_R01b;rural;low;Donkey;N;13  ?15  ?45  ?;77  ?37  ?3  ?;782283.8477;1475699.514
27;N_R02a;rural;high;Sceptical;N;13  ?20  ?6  ?;77  ?36  ?20  ?;781014.9252;1475784.162
28;N_R02b;rural;low;Stonewell;N;13  ?20  ?11  ?;77  ?35  ?37  ?;779489.1553;1479958.416
29;N_R03a;rural;high;Suresh-House;N;13  ?22  ?46  ?;77  ?34  ?38  ?;775996.0588;1417280.972
30;N_R03b;rural;low;Suresh-Papaya;N;13  ?22  ?25  ?;77  ?34  ?49  ?;779126.805;1480584.093
31;S_R01a;rural;high;Woodwork;S;12  ?46  ?58  ?;77  ?28  ?4  ?;767948.8302;1414447.307
32;S_R01b;rural;low;Schafe;S;12  ?46  ?32  ?;77  ?28  20  ?;768427.3329;1413588.198
33;S_R02a;rural;high;Gehstock;S;12  ?43  ?41  ?;77  ?29  ?28  ?;770573.2737;1408360.905
34;S_R02b;rural;low;Palmhill;S;12  ?43  ?5  ?;77  ?29  ?6  ?;769502.1197;1408825.586
35;S_R03a;rural;high;Sea-View;S;12  ?45  ?20  ?;77  ?26  ?16  ?;764699.5174;1411395.477
36;S_R03b;rural;low;Coconut-Seedling;S;12  ?44  ?40  ?;77  ?26  ?26  ?;765018.3813;1410149.306
